Mês,Compras,Qtd Comprada,Valor Comprado,Qtd Vendida,Valor Vendido,Pr. Venda Médio
04/2024,0,0,0.00,0,0.00,0.00
03/2024,0,0,0.00,0,0.00,0.00
02/2024,0,0,0.00,0,-0.87,0.00
01/2024,0,0,0.00,0,0.00,0.00
12/2023,0,0,0.00,7,83.52,11.93
11/2023,0,0,0.00,10,124.58,12.46
10/2023,0,0,0.00,10,113.34,11.33
09/2023,0,0,0.00,11,120.73,10.98
08/2023,0,0,0.00,16,183.67,11.48
07/2023,1,100,399.00,18,219.99,12.22
06/2023,0,0,0.00,17,208.36,12.26
05/2023,0,0,0.00,10,129.65,12.97
04/2023,0,0,0.00,11,142.52,12.96
03/2023,0,0,0.00,13,157.33,12.10
02/2023,1,100,399.00,5,61.14,12.23
01/2023,0,0,0.00,0,0.00,0.00